unit_id,article_title,article_content,source,date,location,labels,clean_text
1914947530,Syria attack symptoms consistent with nerve agent use WHO,"Wed 05 Apr 2017 Syria attack symptoms consistent with nerve agent use WHO. Victims of a suspected chemical attack in Syria appeared to show symptoms consistent with reaction to a nerve agent the World Health Organization said on Wednesday. ""Some cases appear to show additional signs consistent with exposure to organophosphorus chemicals a category of chemicals that includes nerve agents"" WHO said in a statement putting the death toll at at least 70. The United States has said the deaths were caused by sarin nerve gas dropped by Syrian aircraft. Russia has said it believes poison gas had leaked from a rebel chemical weapons depot struck by Syrian bombs. Sarin is an organophosporus compound and a nerve agent. Chlorine and mustard gas which are also believed to have been used in the past in Syria are not. A Russian Defence Ministry spokesman did not say what agent was used in the attack but said the rebels had used the same chemical weapons in Aleppo last year. The WHO said it was likely that some kind of chemical was used in the attack because sufferers had no apparent external injuries and died from a rapid onset of similar symptoms including acute respiratory distress. It said its experts in Turkey were giving guidance to overwhelmed health workers in Idlib on the diagnosis and treatment of patients and medicines such as Atropine an antidote for some types of chemical exposure and steroids for symptomatic treatment had been sent. A U.N. Commission of Inquiry into human rights in Syria has previously said forces loyal to Syrian President Bashar al-Assad have used lethal chlorine gas on multiple occasions. Hundreds of civilians died in a sarin gas attack in Ghouta on the outskirts of Damascus in August 2013. Assads government has always denied responsibility for that attack. Syria agreed to destroy its chemical weapons in 2013 under a deal brokered by Moscow and Washington. But Russia a Syrian ally and China have repeatedly vetoed any United Nations move to sanction Assad or refer the situation in Syria to the International Criminal Court. ""These types of weapons are banned by international law because they represent an intolerable barbarism"" Peter Salama Executive Director of the WHO Health Emergencies Programme said in the WHO statement. - REUTERS",nna,4/5/2017,idlib,0,wed 05 apr 2017 syria attack symptom consist nerv agent use victim suspect chemic attack syria appear show symptom consist reaction nerv agent world health organ said wednesday case appear show addit sign consist exposur organophosphoru chemic categori chemic includ nerv agent said statement put death toll least 70 unit state said death caus sarin nerv ga drop syrian aircraft russia said believ poison ga leak rebel chemic weapon depot struck syrian bomb sarin organophosporu compound nerv agent chlorin mustard ga also believ use past syria russian defenc ministri spokesman say agent use attack said rebel use chemic weapon aleppo last year said like kind chemic use attack suffer appar extern injuri die rapid onset similar symptom includ acut respiratori distress said expert turkey give guidanc overwhelm health worker idlib diagnosi treatment patient medicin atropin antidot type chemic exposur steroid symptomat treatment sent un commiss inquiri human right syria previous said forc loyal syrian presid bashar alassad use lethal chlorin ga multipl occas hundr civilian die sarin ga attack ghouta outskirt damascu august 2013 assad govern alway deni respons attack syria agre destroy chemic weapon 2013 deal broker moscow washington russia syrian alli china repeatedli veto unit nation move sanction assad refer situat syria intern crimin court type weapon ban intern law repres intoler barbar peter salama execut director health emerg programm said statement reuter
1914947532,Homs governor says U.S. attack caused deaths but doesnt see big human losses,"Fri 07 Apr 2017 at 0914 Homs governor says U.S. attack caused deaths but doesnt see big human losses. A U.S. missile strike on an airbase near the Syrian city of Homs on Friday caused deaths but is not believed to have resulted in ""big human casualties"" Homs Governor Talal Barazi said. Barazi said the attack served the interests of ""armed terrorist groups"" including Islamic State adding that the targeted airbase had been providing air support for army operations against Islamic State east of Palmyra. Barazi was speaking in a series of phone interviews with media on Friday. He confirmed deaths at the airbase in a phone interview with Lebanese TV station al-Mayadeen. ""I believe - God willing - that the human casualties are not big but there is material damage. We hope there are not many victims and martyrs"" he told Reuters by telephone. Speaking at dawn he said rescue and fire-fighting operations had been going on for two hours at the base. He said the attack was a form of ""support for the armed terrorist groups and it is an attempt to weaken the capabilities of the Syrian Arab Army to combat terrorism"". Speaking to Syrian state TV Barazi said ""The Syrian leadership and Syrian policy will not change. ""This targeting was not the first and I dont believe it will be the last"" he added. In separate comments to al-Mayadeen he said ""The war against terrorism will continue."" U.S. President Donald Trump said he ordered missile strikes against an airfield from which a deadly chemical weapons attack was launched this week declaring he acted in Americas ""national security interest"" against Syrian President Bashar al-Assad. U.S. officials said the military fired dozens of cruise missiles against the base in response to the suspected gas attack in a rebel-held area that Washington has blamed on Assads forces. The Syrian government has strongly denied responsibility. The U.S. strikes ""targeted military positions in Syria and in Homs specifically"" in order to publicly ""serve the goals of terrorism in Syria and the goals of Israel in the long run"" Barazi added in his interview with state TV.-REUTERS",nna,4/7/2017,homs,0,fri 07 apr 2017 0914 hom governor say us attack caus death doesnt see big human loss us missil strike airbas near syrian citi hom friday caus death believ result big human casualti hom governor talal barazi said barazi said attack serv interest arm terrorist group includ islam state ad target airbas provid air support armi oper islam state east palmyra barazi speak seri phone interview media friday confirm death airbas phone interview lebanes tv station almayadeen believ god will human casualti big materi damag hope mani victim martyr told reuter telephon speak dawn said rescu firefight oper go two hour base said attack form support arm terrorist group attempt weaken capabl syrian arab armi combat terror speak syrian state tv barazi said syrian leadership syrian polici chang target first dont believ last ad separ comment almayadeen said war terror continu us presid donald trump said order missil strike airfield deadli chemic weapon attack launch week declar act america nation secur interest syrian presid bashar alassad us offici said militari fire dozen cruis missil base respons suspect ga attack rebelheld area washington blame assad forc syrian govern strongli deni respons us strike target militari posit syria hom specif order publicli serv goal terror syria goal israel long run barazi ad interview state tvreuter
1914947533,Death toll from Aleppo bomb attack at least 112,Sun 16 Apr 2017 Death toll from Aleppo bomb attack at least 112. The death toll from a bomb blast on a crowded Syrian bus convoy outside Aleppo reached at least 112 people the Syrian Observatory for Human Rights monitoring group said on Sunday. Syrian rescue workers the Civil Defence said that they had carted away at least 100 bodies from the site of Saturdays blast which hit buses carrying Shiite residents as they waited to cross from rebel into government territory in an evacuation deal between warring sides. The British-based Observatory said the number was expected to rise. Those killed were mostly residents of the villages of al-Foua and Kefraya in Idlib province but included rebel fighters guarding the convoy the Observatory said. There was no immediate claim of responsibility for the attack which pro-Damascus media said was carried out by a suicide car bomber. The convoy was carrying at least 5000 people including civilians and several hundred pro-government fighters who were granted safe passage out of the two Shiite villages which are besieged by rebels. Under the evacuation deal more than 2000 people including rebel fighters were granted safe passage out of Madaya a town near Damascus besieged by government forces and their allies. That convoy was waiting at a bus garage in a government-held area on Aleppos outskirts a few miles from where the attack took place. Madaya evacuees said they heard the blast. --Reuters,nna,4/16/2017,aleppo,0,sun 16 apr 2017 death toll aleppo bomb attack least 112 death toll bomb blast crowd syrian bu convoy outsid aleppo reach least 112 peopl syrian observatori human right monitor group said sunday syrian rescu worker civil defenc said cart away least 100 bodi site saturday blast hit buse carri shiit resid wait cross rebel govern territori evacu deal war side britishbas observatori said number expect rise kill mostli resid villag alfoua kefraya idlib provinc includ rebel fighter guard convoy observatori said immedi claim respons attack prodamascu media said carri suicid car bomber convoy carri least 5000 peopl includ civilian sever hundr progovern fighter grant safe passag two shiit villag besieg rebel evacu deal 2000 peopl includ rebel fighter grant safe passag madaya town near damascu besieg govern forc alli convoy wait bu garag governmentheld area aleppo outskirt mile attack took place madaya evacue said heard blast reuter
1914947534,Aleppo bomb blast kills six Syrian state TV,Wed 19 Apr 2017 Aleppo bomb blast kills six Syrian state TV. A bomb blast killed six people and injured 32 in the Salah al-Din district of Aleppo Syrian state television reported on Wednesday without giving further details. Salah al-Din is located west of Aleppos Old City in a district that was part of the last rebel enclave there until it was taken over by the Syrian army in an advance in December. --Reuters,nna,4/19/2017,aleppo,0,wed 19 apr 2017 aleppo bomb blast kill six syrian state tv bomb blast kill six peopl injur 32 salah aldin district aleppo syrian state televis report wednesday without give detail salah aldin locat west aleppo old citi district part last rebel enclav taken syrian armi advanc decemb reuter
1914947535,29 Syria Rebels Dead in Fighting for Key Aleppo Road,Sun 10 Jul 2016 29 Syria Rebels Dead in Fighting for Key Aleppo Road. At least 29 Syrian rebels were killed in clashes with regime troops overnight during a failed bid to reopen the oppositions key supply route into Aleppo city a monitor said Sunday. The fighters from the Faylaq al-Sham Islamist faction and Al-Qaeda affiliate Al-Nusra Front were killed trying to reopen the Castello Road which regime forces effectively severed on Thursday the Syrian Observatory for Human Rights monitor said.--AFP,nna,7/10/2016,aleppo,0,sun 10 jul 2016 29 syria rebel dead fight key aleppo road least 29 syrian rebel kill clash regim troop overnight fail bid reopen opposit key suppli rout aleppo citi monitor said sunday fighter faylaq alsham islamist faction alqaeda affili alnusra front kill tri reopen castello road regim forc effect sever thursday syrian observatori human right monitor saidafp
1914947536,Suicide bombing kills at least 16 in northeast Syria,Tue 05 Jul 2016 Suicide bombing kills at least 16 in northeast Syria. A suicide bomb blast killed at least 16 people in the mostly Kurdish-controlled city of Hasaka in northeastern Syria on Tuesday the monitoring group the Syrian Observatory for Human Rights said. The attacker detonated his explosives at a bakery. The British-based observatory said several other people were wounded and the death toll was likely to rise because of the number of serious injuries. There was no immediate claim of responsibility for the bombing. Islamic State has targeted areas of Hasaka province in the past including another city Qamishli. But bomb attacks in Hasaka city itself have been rarer in recent months. The Kurdish YPG militia which controls most of Hasaka province captured large areas of territory from Islamic State in northeastern Syria last year and is involved in a U.S.-backed offensive against the jihadists further west near the Turkish border. --Reuters,nna,7/5/2016,hasakeh,0,tue 05 jul 2016 suicid bomb kill least 16 northeast syria suicid bomb blast kill least 16 peopl mostli kurdishcontrol citi hasaka northeastern syria tuesday monitor group syrian observatori human right said attack deton explos bakeri britishbas observatori said sever peopl wound death toll like rise number seriou injuri immedi claim respons bomb islam state target area hasaka provinc past includ anoth citi qamishli bomb attack hasaka citi rarer recent month kurdish ypg militia control hasaka provinc captur larg area territori islam state northeastern syria last year involv usback offens jihadist west near turkish border reuter
1914947537,22 dead in heavy U.S. raids on IS Syria stronghold,"Sun 05 Jul 2015 22 dead in heavy U.S. raids on IS Syria stronghold. Six civilians including a child were among at least 22 people killed in U.S. air strikes on the Islamic State groups de facto Syrian capital on Saturday and Sunday a monitor said. The rest of the dead in the raids on the city of Raqa were IS fighters the Syrian Observatory for Human Rights said. Dozens of people were also wounded. The U.S.-led coalition which launched an air war against IS in Syria last September said it had carried out ""significant"" air strikes against Raqa. ""The significant air strikes tonight were executed to deny Daesh (IS) the ability to move military capabilities throughout Syria and into Iraq"" spokesman Lieutenant Colonel Thomas Gilleran said. ""This was one of the largest deliberate engagements we have conducted to date in Syria and it will have debilitating effects on Daeshs ability to move from Raqa."" Coalition forces ""successfully engaged multiple targets"" throughout Raqa the statement said destroying IS structures and transit routes. The strikes ""have severely constricted terrorist freedom of movement"" it added. Washington is leading a coalition fighting IS in Syria and Iraq where the extremist group has proclaimed an Islamic ""caliphate"" in territory under its control. The group emerged in Syria in 2013 and now controls around half the countrys territory though much of the land it holds is unpopulated desert. More than 230000 people have been killed in Syria since the conflict began in March 2011.-AFP",nna,7/5/2015,raqqa,0,sun 05 jul 2015 22 dead heavi us raid syria stronghold six civilian includ child among least 22 peopl kill us air strike islam state group de facto syrian capit saturday sunday monitor said rest dead raid citi raqa fighter syrian observatori human right said dozen peopl also wound usl coalit launch air war syria last septemb said carri signific air strike raqa signific air strike tonight execut deni daesh abil move militari capabl throughout syria iraq spokesman lieuten colonel thoma gilleran said one largest deliber engag conduct date syria debilit effect daesh abil move raqa coalit forc success engag multipl target throughout raqa statement said destroy structur transit rout strike sever constrict terrorist freedom movement ad washington lead coalit fight syria iraq extremist group proclaim islam caliph territori control group emerg syria 2013 control around half countri territori though much land hold unpopul desert 230000 peopl kill syria sinc conflict began march 2011afp
1914947538,Suicide bomber kills 4 in Assad clans hometown,"Sun 22 Feb 2015 Suicide bomber kills 4 in Assad clans hometown. A suicide bomber driving an ambulance killed four people on Sunday in an unprecedented attack on a hospital that took Syrias civil war to the ruling Assad clans hometown for the first time a monitoring group said. The attack came as the Syrian Observatory for Human Rights reported that troops had executed 48 people earlier this week in a northern village among them 10 children. ""A man drove an ambulance packed with explosives into the parking of the Qardaha hospital. Another man was in the vehicle with him but it was unclear whether he was an accomplice or a hostage. Four people were killed in the attack"" said Observatory director Rami Abdel Rahman. Earlier state television had reported the blast but did not specify the nature of the attack. The attack the first explosion to hit the heart of the western town since the outbreak of Syrias civil war in 2011 killed a nurse a hospital employee and two soldiers said Observatory director Abdel Rahman. The outskirts of Qardaha have previously come under rocket fire while Latakia province - where the town is located - has seen several rounds of heavy fighting. A mausoleum containing the graves of President Bashar Assads father and predecessor Hafez and brother Bassil is located in Qardaha. The clan has ruled Syria with an iron fist for more than 40 years. Syrias war began in March 2011 as a pro-democracy revolt seeking Assads ouster. It morphed into a conflict after the regime unleashed a brutal crackdown on dissent. - Troops kill 10 children - Meanwhile the Observatory said 10 children and 13 rebels were among 48 people executed by government forces in the northern village of Rityan earlier this week. The killings took place after troops entered the town Tuesday during an offensive aimed at cutting rebel supply lines to the Turkish border. Abdel Rahman said all the dead were from six families. ""There was no resistance except in one house where a rebel opened fire at troops before being executed along with his family."" The brief seizure of Rityan was part of an abortive army offensive this week to encircle the rebel-held east of Aleppo and relieve two besieged Shiite villages to its north. By Friday all but one of the villages taken by government forces had been recaptured by the rebels who include fighters from Al-Qaeda affiliate Al-Nusra Front. The heavy fighting claimed the lives of 129 loyalists and 116 rebels including an Al-Nusra commander according to an Observatory toll. - Air raids kill thousands - While the ground offensive failed warplanes kept pounding rebel areas of Aleppo city and other parts of the country. On Saturday two women and two children were among eight people killed when a barrel bomb hit a building in an opposition-held area of Aleppo city once Syrias commercial capital. Six people were also reported killed in rebel shelling of regime-held areas of the city. The air force also killed at least 10 people in rebel areas east of Damascus Saturday the Observatory said. According to the group they were the latest of more than 7000 people killed across Syria since the UN Security Council passed a resolution last year ordering an end to sieges and indiscriminate use of weapons in populated areas. The Observatory ""has documented the killing of 5812 civilians including 1733 children 969 women and 3110 men in barrel bombings and (other) air raids"" over the past year. Meanwhile rebel fire on regime-held areas killed 1102 people said the Observatory adding that 234 of them were children. And 313 people died in areas under army siege in the past year as a result of food and medical shortages despite the fact that the resolution also ordered the lifting of sieges.-AFP",nna,2/22/2015,lattakia,0,sun 22 feb 2015 suicid bomber kill 4 assad clan hometown suicid bomber drive ambul kill four peopl sunday unpreced attack hospit took syria civil war rule assad clan hometown first time monitor group said attack came syrian observatori human right report troop execut 48 peopl earlier week northern villag among 10 children man drove ambul pack explos park qardaha hospit anoth man vehicl unclear whether accomplic hostag four peopl kill attack said observatori director rami abdel rahman earlier state televis report blast specifi natur attack attack first explos hit heart western town sinc outbreak syria civil war 2011 kill nurs hospit employe two soldier said observatori director abdel rahman outskirt qardaha previous come rocket fire latakia provinc town locat seen sever round heavi fight mausoleum contain grave presid bashar assad father predecessor hafez brother bassil locat qardaha clan rule syria iron fist 40 year syria war began march 2011 prodemocraci revolt seek assad ouster morph conflict regim unleash brutal crackdown dissent troop kill 10 children meanwhil observatori said 10 children 13 rebel among 48 peopl execut govern forc northern villag rityan earlier week kill took place troop enter town tuesday offens aim cut rebel suppli line turkish border abdel rahman said dead six famili resist except one hous rebel open fire troop execut along famili brief seizur rityan part abort armi offens week encircl rebelheld east aleppo reliev two besieg shiit villag north friday one villag taken govern forc recaptur rebel includ fighter alqaeda affili alnusra front heavi fight claim live 129 loyalist 116 rebel includ alnusra command accord observatori toll air raid kill thousand ground offens fail warplan kept pound rebel area aleppo citi part countri saturday two women two children among eight peopl kill barrel bomb hit build oppositionheld area aleppo citi syria commerci capit six peopl also report kill rebel shell regimeheld area citi air forc also kill least 10 peopl rebel area east damascu saturday observatori said accord group latest 7000 peopl kill across syria sinc un secur council pass resolut last year order end sieg indiscrimin use weapon popul area observatori document kill 5812 civilian includ 1733 children 969 women 3110 men barrel bomb air raid past year meanwhil rebel fire regimeheld area kill 1102 peopl said observatori ad 234 children 313 peopl die area armi sieg past year result food medic shortag despit fact resolut also order lift siegesafp
1914947539,Explosion rocks down town Damascus,Sun 01 Feb 2015 Explosion rocks down town Damascus . An explosion inside a bus killed six people and injured another ten in down town Damascus according to preliminary reports on Sunday. Syrias government run TV said the explosion took place in Al Kalassa region of the Syrian capital and that 19 people were injured and an unspecified number of others killed.,nna,2/1/2015,damascus,1,sun 01 feb 2015 explos rock town damascu explos insid bu kill six peopl injur anoth ten town damascu accord preliminari report sunday syria govern run tv said explos took place al kalassa region syrian capit 19 peopl injur unspecifi number other kill
1914947540,Damascus explosion due to rocket bomb,Sat 24 Aug 2013 Damascus explosion due to rocket bomb . The blast heard Saturday evening in the area of Burj Rouss Qsaa in the Syrian Capital Damascus was due to a rocket bomb and not a car explosion NNA correspondent reported. The rocket bomb packed with heavy explosive material led to the killing of one person and the injury of 40 others; in addition to causing huge material damages within the area of explosion NNA correspondent added quoting the Syrian National Television.,nna,8/24/2013,damascus,0,sat 24 aug 2013 damascu explos due rocket bomb blast heard saturday even area burj rouss qsaa syrian capit damascu due rocket bomb car explos nna correspond report rocket bomb pack heavi explos materi led kill one person injuri 40 other addit caus huge materi damag within area explos nna correspond ad quot syrian nation televis
